Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Soil Alkalinity,"Alkalinity is usually an inherent characteristic of soils, and alkaline soils are largely confined to areas with less than 400 mm annual rainfall. Mapping shows surface and subsoil alkailinty, while detailed proportion data are supplied for calculating respective areas of each alkalinity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/4dd6d3d7-98f3-458a-849e-38fb38680d77,2016-06-09T02:29:59.252476,2016-07-08T01:33:07.701198,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Aluminium Toxicity,"Aluminium toxicity in plants can occur even at low concentrations. While present in most soils, the availability of aluminium to plants is highly pH dependent. Mapping shows the proportion of land with aluminium toxicity potential, while detailed proportion data are supplied for calculating respective areas of each aluminium toxicity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/7b85b161-3aad-4d13-9f68-09045af98000,2016-06-09T02:54:49.861271,2016-07-08T01:32:45.119512,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Salinity - Non-watertable (magnesia patches),"Non-watertable salinity (or dry saline land) is where soil contains elevated levels of soluble salts that are not associated with a watertable. Magnesia patches occur where high concentrations of this salt extend to the surface and visibly affect plant growth. Mapping shows the proportion of land affected by magnesia patches, while detailed proportion data are supplied for calculating total areas of affected land (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/cc85d3b3-c290-4633-b7c4-ffe78e7c64e5,2016-06-09T03:52:00.005911,2016-07-08T01:32:11.518433,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Available Waterholding Capacity,"Available waterholding capacity refers to the potential volume (on a per unit area basis, expressed in mm) within the rootzone of a soil that can be filled by rainfall or irrigation, and is available to plants (i.e. not including moisture help by soil matrix suction). Assessments are based on the rootzone of wheat plants. Mapping shows the estimated average available waterholding capacity, while detailed proportion data are supplied for calculating respective areas of each available waterholding class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/ab2dbe6b-a6a1-4245-8f49-b885cadc45f0,2016-06-09T02:57:25.909322,2016-07-08T01:30:50.637269,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Boron Toxicity (depth to toxic layer),"Boron is an essential trace element occurring naturally in soil, but is toxic to many agricultural plants at high concentrations. High boron levels are often associated with windblown deposition of marine sediments, lower rainfall areas and impermeable clay layers (due to reduced leaching). Mapping shows the estimated average depth to toxic boron levels, while detailed proportion data are supplied for calculating respective areas of each boron toxicity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/23bc1dfb-96ce-40fe-87dc-b1cf829aed5f,2016-06-09T03:01:27.584154,2016-07-08T01:30:29.491174,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Flooding Susceptibility (soils),"Susceptibility to flooding imposes a serious limitation on land especially where infrastructure is required. Mapping shows the proportion of land susceptible to flooding, while detailed proportion data are supplied for calculating total areas of susceptible land (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/88979d53-3ae2-493c-8600-0661137e987d,2016-06-09T03:26:36.283605,2016-07-08T01:30:09.859903,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Wind Erosion Potential,"Wind erosion potential describes the susceptibility of land to erosion by wind, which is particularly an issue on sand and sandy loam soils. Mapping shows the degree and variability of wind erosion potential, while detailed proportion data are supplied for calculating respective areas of each wind erosion potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/421a772f-6c60-4a05-b593-d7925293d4d9,2016-06-09T04:17:08.143639,2016-07-08T01:29:49.244055,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Surface Carbonate,"Surface carbonate often occurs as finely divided particles which reduce nutrient availability to plants and retard the degradation of some herbicides. Mapping shows the proportion of land with calcareous surface soils, while detailed proportion data are supplied for calculating respective areas of each surface carbonate class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/404ba91a-0ea4-4bab-be03-13eb29bd83a8,2016-06-09T04:04:34.133509,2016-07-08T01:29:25.853590,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
"Soil Rootzone Depth Potential CC - Hardy horticultural crops (eg grapes, olives)","Potential rootzone depth for irrigated horticultural crops is affected by a range of soil parameters (e.g. soil physical condition, hard rock or hardpan, soluble salts, boron concentrations, alkalinity, acidity and sodicity). Mapping shows the estimated average potential rootzone depth for hardy crops (e.g. grapes, olives), while detailed proportion data are supplied for calculating respective areas of each rootzone depth potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/74a8046a-10e5-4263-aa08-b08839a89338,2016-06-09T03:43:43.954297,2016-07-08T01:29:02.409412,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Waterlogging Susceptibility,"Waterlogging susceptibility describes the degree and duration of impact to soils, and hence plants, arising from poor drainage. Mapping indicates the most severely waterlogged areas (provided they occupy at least 30% of a map unit), while detailed proportion data are supplied for calculating respective areas of each waterlogging susceptibility class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/dafa3c3f-16a5-4f00-a9d3-4ab2dbc88c5f,2016-06-09T04:15:27.641170,2016-07-08T01:28:36.567125,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Flora Species Observations,The flora data set represents the spatial locations of flora species observation data maintained by DEWNR in the Biological Databases of South Australia.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/e059ea9f-5ef6-4771-ae28-88759e0e30c6,2013-05-17T08:12:53.612110,2016-07-07T02:48:07.649139,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,October 2012,,South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","Biological Conservation, Conservation, Flora, Nature","Water, energy, resources, environment and science",Jinlei
